Country,Nominal,Abbreviated,GDP Growth,Population,Per capita ,Share of World GDP 
United States,19485394000000,$19.485 trillion,2.27%,"325,084,756","$59,939 ",24.08%
China,12237700479375,$12.238 trillion,6.90%,"1,421,021,791","$8,612 ",15.12%
Japan,4872415104315,$4.872 trillion,1.71%,"127,502,725","$38,214 ",6.02%
Germany,3693204332230,$3.693 trillion,2.22%,"82,658,409","$44,680 ",4.56%
India,2650725335364,$2.651 trillion,6.68%,"1,338,676,785","$1,980 ",3.28%
United Kingdom,2637866340434,$2.638 trillion,1.79%,"66,727,461","$39,532 ",3.26%
France,2582501307216,$2.583 trillion,1.82%,"64,842,509","$39,827 ",3.19%
Brazil,2053594877013,$2.054 trillion,0.98%,"207,833,823","$9,881 ",2.54%
Italy,1943835376342,$1.944 trillion,1.50%,"60,673,701","$32,038 ",2.40%
Canada,1647120175449,$1.647 trillion,3.05%,"36,732,095","$44,841 ",2.04%
Russia,1578417211937,$1.578 trillion,1.55%,"145,530,082","$10,846 ",1.95%
South Korea,1530750923149,$1.531 trillion,3.06%,"51,096,415","$29,958 ",1.89%
Australia,1323421072479,$1.323 trillion,1.96%,"24,584,620","$53,831 ",1.64%
Spain,1314314164402,$1.314 trillion,3.05%,"46,647,428","$28,175 ",1.62%
Mexico,1150887823404,$1.151 trillion,2.04%,"124,777,324","$9,224 ",1.42%
Indonesia,1015420587285,$1.015 trillion,5.07%,"264,650,963","$3,837 ",1.25%
Turkey,851549299635,$852 billion,7.44%,"81,116,450","$10,498 ",1.05%
Netherlands,830572618850,$831 billion,3.16%,"17,021,347","$48,796 ",1.03%
Saudi Arabia,686738400000,$687 billion,-0.86%,"33,101,179","$20,747 ",0.85%
Switzerland,678965423322,$679 billion,1.09%,"8,455,804","$80,296 ",0.84%
Argentina,637430331479,$637 billion,2.85%,"43,937,140","$14,508 ",0.79%
Sweden,535607385506,$536 billion,2.29%,"9,904,896","$54,075 ",0.66%
Poland,526465839003,$526 billion,4.81%,"37,953,180","$13,871 ",0.65%
Belgium,494763551891,$495 billion,1.73%,"11,419,748","$43,325 ",0.61%
Thailand,455302682986,$455 billion,3.91%,"69,209,810","$6,579 ",0.56%
Iran,454012768724,$454 billion,3.76%,"80,673,883","$5,628 ",0.56%
Austria,416835975862,$417 billion,3.04%,"8,819,901","$47,261 ",0.52%
Norway,399488897844,$399 billion,1.92%,"5,296,326","$75,428 ",0.49%
United Arab Emirates,382575085092,$383 billion,0.79%,"9,487,203","$40,325 ",0.47%
Nigeria,375745486521,$376 billion,0.81%,"190,873,244","$1,969 ",0.46%
Israel,353268411919,$353 billion,3.33%,"8,243,848","$42,852 ",0.44%
South Africa,348871647960,$349 billion,1.32%,"57,009,756","$6,120 ",0.43%
Hong Kong,341449340451,$341 billion,3.79%,"7,306,322","$46,733 ",0.42%
Ireland,331430014003,$331 billion,7.80%,"4,753,279","$69,727 ",0.41%
Denmark,329865537183,$330 billion,2.24%,"5,732,274","$57,545 ",0.41%
Singapore,323907234412,$324 billion,3.62%,"5,708,041","$56,746 ",0.40%
Malaysia,314710259511,$315 billion,5.90%,"31,104,646","$10,118 ",0.39%
Colombia,314457601860,$314 billion,1.79%,"48,909,839","$6,429 ",0.39%
Philippines,313595208737,$314 billion,6.68%,"105,172,925","$2,982 ",0.39%
Pakistan,304951818494,$305 billion,5.70%,"207,906,209","$1,467 ",0.38%
Chile,277075944402,$277 billion,1.49%,"18,470,439","$15,001 ",0.34%
Finland,252301837573,$252 billion,2.63%,"5,511,371","$45,778 ",0.31%
Bangladesh,249723862487,$250 billion,7.28%,"159,685,424","$1,564 ",0.31%
Egypt,235369129338,$235 billion,4.18%,"96,442,591","$2,441 ",0.29%
Vietnam,223779865815,$224 billion,6.81%,"94,600,648","$2,366 ",0.28%
Portugal,219308128887,$219 billion,2.68%,"10,288,527","$21,316 ",0.27%
Czech Republic (Czechia),215913545038,$216 billion,4.29%,"10,641,034","$20,291 ",0.27%
Romania,211883923504,$212 billion,7.26%,"19,653,969","$10,781 ",0.26%
Peru,211389272242,$211 billion,2.53%,"31,444,298","$6,723 ",0.26%
New Zealand,204139049909,$204 billion,3.03%,"4,702,034","$43,415 ",0.25%